No,Heigh,Weight
1,181,78
2,161,49
3,170,52
4,160,53
5,158,50
6,168,57
7,162,53
8,179,54
9,183,71
10,178,73
11,171,55
12,177,73
13,163,51
14,158,53
15,160,65
16,160,48
17,158,59
18,173,64
19,160,48
20,163,53
21,167,78
22,165,45
23,163,56
24,173,70
25,178,68
26,170,59
27,167,55
28,177,64
29,175,59
30,169,55
31,152,38
32,158,45
33,160,50
34,160,46
35,159,50
36,180,63
37,169,71
38,162,52
39,178,74
40,173,52
41,173,61
42,171,65
43,171,68
44,170,57
45,160,47
46,167,48
47,168,58
48,166,59
49,164,55
50,173,74
